full_name,email,phone,member_no,national_id,branch_code,status,opening_savings,opening_shares,opening_savings_date,opening_shares_date,withdrawal_amount,withdrawal_date,notes,loan_id,loan_amount,interest_rate,term_months,loan_status,loan_disbursed_at,repayment_amount,repayment_date
Kelvin Kasambala,kelvin.kasambala11@saccos.local,+255712006743,LNP25-0011,19901206100077121,,active,1363000,195000,2025-06-23T11:15:00Z,2025-08-08T12:15:00Z,139500,2026-03-08T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0011,3050000,12,10,active,2025-11-10T09:15:00Z,280000,2026-03-23T10:15:00Z
Lilian Manyama,lilian.manyama12@saccos.local,+255712007356,LNP25-0012,19910109100084132,,active,1446000,230000,2025-07-25T09:15:00Z,2025-09-11T10:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0012,3450000,10,11,active,2025-06-17T09:15:00Z,105000,2026-01-04T10:15:00Z
Mariam Mponzi,mariam.mponzi13@saccos.local,+255712007969,LNP25-0013,19920212100091143,,active,1529000,265000,2025-08-01T10:15:00Z,2025-10-14T11:15:00Z,158500,2026-02-18T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0013,3850000,12,12,active,2025-07-24T09:15:00Z,140000,2026-02-08T10:15:00Z
Neema Ndosi,neema.ndosi14@saccos.local,+255712008582,LNP25-0014,19930315100098154,,active,1612000,300000,2025-09-03T11:15:00Z,2025-11-17T12:15:00Z,168000,2026-03-23T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0014,1450000,12,13,active,2025-08-08T09:15:00Z,175000,2026-03-12T10:15:00Z
Omary Mfaume,omary.mfaume15@saccos.local,+255712009195,LNP25-0015,19940418100105165,,active,1695000,335000,2025-10-05T09:15:00Z,2025-12-20T10:15:00Z,177500,2026-01-04T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
Paulina Mlimbila,paulina.mlimbila16@saccos.local,+255712009808,LNP25-0016,19950521100112176,,active,1778000,90000,2025-11-07T10:15:00Z,2025-05-23T11:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0016,2250000,12,15,active,2025-10-22T09:15:00Z,260000,2026-02-20T10:15:00Z
Rehema Kimaro,rehema.kimaro17@saccos.local,+255712010421,LNP25-0017,19960624100119187,,active,1861000,125000,2025-12-09T11:15:00Z,2025-06-26T12:15:00Z,196500,2026-03-14T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0017,2650000,12,16,active,2025-11-06T09:15:00Z,295000,2026-03-24T10:15:00Z
Salum Mrema,salum.mrema18@saccos.local,+255712011034,LNP25-0018,19970727100126198,,active,1944000,160000,2025-04-11T09:15:00Z,2025-07-03T10:15:00Z,206000,2026-01-19T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0018,3050000,10,17,active,2025-06-13T09:15:00Z,120000,2026-01-05T10:15:00Z
Tumaini Massawe,tumaini.massawe19@saccos.local,+255712011647,LNP25-0019,19980802100133209,,active,2027000,195000,2025-05-13T10:15:00Z,2025-08-06T11:15:00Z,215500,2026-02-24T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0019,3450000,12,18,active,2025-07-20T09:15:00Z,155000,2026-02-09T10:15:00Z
Upendo Maro,upendo.maro20@saccos.local,+255712012260,LNP25-0020,19990905100140220,,active,2110000,230000,2025-06-15T11:15:00Z,2025-09-09T12:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
Vicky Msuya,vicky.msuya21@saccos.local,+255712012873,LNP25-0021,20001008100147231,,active,2193000,265000,2025-07-17T09:15:00Z,2025-10-12T10:15:00Z,234500,2026-01-10T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0021,1700000,10,10,active,2025-09-11T09:15:00Z,225000,2026-01-17T10:15:00Z
William Mtui,william.mtui22@saccos.local,+255712013486,LNP25-0022,20011111100154242,,active,2276000,300000,2025-08-19T10:15:00Z,2025-11-15T11:15:00Z,244000,2026-02-15T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0022,2100000,12,11,active,2025-10-18T09:15:00Z,260000,2026-02-21T10:15:00Z
Yohana Ngowi,yohana.ngowi23@saccos.local,+255712014099,LNP25-0023,20021214100161253,,active,2359000,335000,2025-09-21T11:15:00Z,2025-12-18T12:15:00Z,253500,2026-03-20T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0023,2500000,12,12,active,2025-11-02T09:15:00Z,295000,2026-03-02T10:15:00Z
Zawadi Mkenda,zawadi.mkenda24@saccos.local,+255712014712,LNP25-0024,19790117100168264,,active,2442000,90000,2025-10-23T09:15:00Z,2025-05-21T10:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0024,2900000,10,13,active,2025-06-09T09:15:00Z,135000,2026-01-06T10:15:00Z
Abdallah Komba,abdallah.komba25@saccos.local,+255712015325,LNP25-0025,19800220100175275,,active,2525000,125000,2025-11-25T10:15:00Z,2025-06-24T11:15:00Z,272500,2026-02-06T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
Brenda Moshi,brenda.moshi26@saccos.local,+255712015938,LNP25-0026,19810323100182286,,active,2608000,160000,2025-12-01T11:15:00Z,2025-07-01T12:15:00Z,282000,2026-03-11T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0026,3700000,12,15,active,2025-08-23T09:15:00Z,205000,2026-03-14T10:15:00Z
Catherine Mkumbo,catherine.mkumbo27@saccos.local,+255712016551,LNP25-0027,19820426100189297,,active,2691000,195000,2025-04-03T09:15:00Z,2025-08-04T10:15:00Z,291500,2026-01-16T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0027,4100000,10,16,active,2025-09-07T09:15:00Z,240000,2026-01-18T10:15:00Z
Dotto Mtei,dotto.mtei28@saccos.local,+255712017164,LNP25-0028,19830501100196308,,active,2774000,230000,2025-05-05T10:15:00Z,2025-09-07T11:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0028,1700000,12,17,active,2025-10-14T09:15:00Z,275000,2026-02-22T10:15:00Z
Edina Mollel,edina.mollel29@saccos.local,+255712017777,LNP25-0029,19840604100203319,,active,2857000,265000,2025-06-07T11:15:00Z,2025-10-10T12:15:00Z,310500,2026-03-02T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0029,2100000,12,18,active,2025-11-21T09:15:00Z,310000,2026-03-03T10:15:00Z
Fabian Nkwabi,fabian.nkwabi30@saccos.local,+255712018390,LNP25-0030,19850707100210330,,active,2940000,300000,2025-07-09T09:15:00Z,2025-11-13T10:15:00Z,320000,2026-01-07T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
George Kasambala,george.kasambala31@saccos.local,+255712019003,LNP25-0031,19860810100217341,,active,3023000,335000,2025-08-11T10:15:00Z,2025-12-16T11:15:00Z,329500,2026-02-12T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0031,3150000,12,10,active,2025-07-12T09:15:00Z,170000,2026-02-11T10:15:00Z
Halima Manyama,halima.manyama32@saccos.local,+255712019616,LNP25-0032,19870913100224352,,active,3106000,90000,2025-09-13T11:15:00Z,2025-05-19T12:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0032,3550000,12,11,active,2025-08-19T09:15:00Z,220000,2026-03-15T10:15:00Z
Imani Mponzi,imani.mponzi33@saccos.local,+255712020229,LNP25-0033,19881016100231363,,active,3189000,125000,2025-10-15T09:15:00Z,2025-06-22T10:15:00Z,348500,2026-01-22T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0033,3950000,10,12,active,2025-09-03T09:15:00Z,255000,2026-01-19T10:15:00Z
Janeth Ndosi,janeth.ndosi34@saccos.local,+255712020842,LNP25-0034,19891119100238374,,active,3272000,160000,2025-11-17T10:15:00Z,2025-07-25T11:15:00Z,358000,2026-02-03T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0034,4350000,12,13,active,2025-10-10T09:15:00Z,290000,2026-02-23T10:15:00Z
Khadija Mfaume,khadija.mfaume35@saccos.local,+255712021455,LNP25-0035,19901222100245385,,active,3355000,195000,2025-12-19T11:15:00Z,2025-08-02T12:15:00Z,367500,2026-03-08T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
Leah Mlimbila,leah.mlimbila36@saccos.local,+255712022068,LNP25-0036,19910125100252396,,active,3438000,230000,2025-04-21T09:15:00Z,2025-09-05T10:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0036,2350000,10,15,active,2025-06-24T09:15:00Z,150000,2026-01-08T10:15:00Z
Moses Kimaro,moses.kimaro37@saccos.local,+255712022681,LNP25-0037,19920228100259407,,active,3521000,265000,2025-05-23T10:15:00Z,2025-10-08T11:15:00Z,386500,2026-02-18T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0037,2750000,12,16,active,2025-07-08T09:15:00Z,185000,2026-02-12T10:15:00Z
Nasra Mrema,nasra.mrema38@saccos.local,+255712023294,LNP25-0038,19930303100266418,,active,3604000,300000,2025-06-25T11:15:00Z,2025-11-11T12:15:00Z,396000,2026-03-23T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0038,3150000,12,17,active,2025-08-15T09:15:00Z,220000,2026-03-16T10:15:00Z
Oscar Massawe,oscar.massawe39@saccos.local,+255712023907,LNP25-0039,19940406100273429,,active,3687000,335000,2025-07-01T09:15:00Z,2025-12-14T10:15:00Z,405500,2026-01-04T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0039,3550000,10,18,active,2025-09-22T09:15:00Z,255000,2026-01-20T10:15:00Z
Prisca Maro,prisca.maro40@saccos.local,+255712024520,LNP25-0040,19950509100280440,,active,3770000,90000,2025-08-03T10:15:00Z,2025-05-17T11:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
Queen Msuya,queen.msuya41@saccos.local,+255712025133,LNP25-0041,19960612100287451,,active,3853000,125000,2025-09-05T11:15:00Z,2025-06-20T12:15:00Z,424500,2026-03-14T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0041,4600000,12,10,active,2025-11-13T09:15:00Z,340000,2026-03-05T10:15:00Z
Robert Mtui,robert.mtui42@saccos.local,+255712025746,LNP25-0042,19970715100294462,,active,3936000,160000,2025-10-07T09:15:00Z,2025-07-23T10:15:00Z,434000,2026-01-19T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0042,2200000,10,11,active,2025-06-20T09:15:00Z,165000,2026-01-09T10:15:00Z
Sophia Ngowi,sophia.ngowi43@saccos.local,+255712026359,LNP25-0043,19980818100301473,,active,4019000,195000,2025-11-09T10:15:00Z,2025-08-26T11:15:00Z,443500,2026-02-24T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0043,2600000,12,12,active,2025-07-04T09:15:00Z,200000,2026-02-13T10:15:00Z
Thomas Mkenda,thomas.mkenda44@saccos.local,+255712026972,LNP25-0044,19990921100308484,,active,4102000,230000,2025-12-11T11:15:00Z,2025-09-03T12:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0044,3000000,12,13,active,2025-08-11T09:15:00Z,235000,2026-03-17T10:15:00Z
Upendo Komba,upendo.komba45@saccos.local,+255712027585,LNP25-0045,20001024100315495,,active,4185000,265000,2025-04-13T09:15:00Z,2025-10-06T10:15:00Z,462500,2026-01-10T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
Victor Moshi,victor.moshi46@saccos.local,+255712028198,LNP25-0046,20011127100322506,,active,4268000,300000,2025-05-15T10:15:00Z,2025-11-09T11:15:00Z,472000,2026-02-15T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0046,3800000,12,15,active,2025-10-02T09:15:00Z,305000,2026-02-02T10:15:00Z
Witness Mkumbo,witness.mkumbo47@saccos.local,+255712028811,LNP25-0047,20021202100329517,,active,4351000,335000,2025-06-17T11:15:00Z,2025-12-12T12:15:00Z,481500,2026-03-20T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0047,4200000,12,16,active,2025-11-09T09:15:00Z,340000,2026-03-06T10:15:00Z
Yusuph Mtei,yusuph.mtei48@saccos.local,+255712029424,LNP25-0048,19790105100336528,,active,4434000,90000,2025-07-19T09:15:00Z,2025-05-15T10:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0048,4600000,10,17,active,2025-06-16T09:15:00Z,180000,2026-01-10T10:15:00Z
Zubeda Mollel,zubeda.mollel49@saccos.local,+255712030037,LNP25-0049,19800208100343539,,active,4517000,125000,2025-08-21T10:15:00Z,2025-06-18T11:15:00Z,500500,2026-02-06T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0049,2200000,12,18,active,2025-07-23T09:15:00Z,215000,2026-02-14T10:15:00Z
Agnes Nkwabi,agnes.nkwabi50@saccos.local,+255712030650,LNP25-0050,19810311100350550,,active,4600000,160000,2025-09-23T11:15:00Z,2025-07-21T12:15:00Z,510000,2026-03-11T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
