full_name,email,phone,member_no,national_id,branch_code,status,opening_savings,opening_shares,opening_savings_date,opening_shares_date,withdrawal_amount,withdrawal_date,notes,loan_id,loan_amount,interest_rate,term_months,loan_status,loan_disbursed_at,repayment_amount,repayment_date
Salum Mrema,salum.mrema18@saccos.local,+255712011034,DCP25-0018,19970727100126198,,active,2356000,775000,2025-12-11T09:15:00Z,2026-01-21T10:15:00Z,0,,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Tumaini Massawe,tumaini.massawe19@saccos.local,+255712011647,DCP25-0019,19980802100133209,,active,2448000,835000,2026-01-13T10:15:00Z,2025-04-25T11:15:00Z,158000,2026-02-10T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Upendo Maro,upendo.maro20@saccos.local,+255712012260,DCP25-0020,19990905100140220,,active,2540000,310000,2025-04-15T11:15:00Z,2025-05-03T12:15:00Z,165000,2026-03-13T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0020,600000,10,8,active,2025-08-10T09:15:00Z,70000,2026-01-19T10:15:00Z
Vicky Msuya,vicky.msuya21@saccos.local,+255712012873,DCP25-0021,20001008100147231,,active,2632000,370000,2025-05-17T09:15:00Z,2025-06-07T10:15:00Z,172000,2026-01-16T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
William Mtui,william.mtui22@saccos.local,+255712013486,DCP25-0022,20011111100154242,,active,2724000,430000,2025-06-19T10:15:00Z,2025-07-11T11:15:00Z,179000,2026-02-19T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Yohana Ngowi,yohana.ngowi23@saccos.local,+255712014099,DCP25-0023,20021214100161253,,active,2816000,490000,2025-07-21T11:15:00Z,2025-08-15T12:15:00Z,186000,2026-03-22T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Zawadi Mkenda,zawadi.mkenda24@saccos.local,+255712014712,DCP25-0024,19790117100168264,,active,2908000,550000,2025-08-23T09:15:00Z,2025-09-19T10:15:00Z,0,,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Abdallah Komba,abdallah.komba25@saccos.local,+255712015325,DCP25-0025,19800220100175275,,active,3000000,625000,2025-09-25T10:15:00Z,2025-10-23T11:15:00Z,200000,2026-02-04T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0025,800000,10,9,active,2025-09-12T09:15:00Z,90000,2026-02-06T10:15:00Z
Brenda Moshi,brenda.moshi26@saccos.local,+255712015938,DCP25-0026,19810323100182286,,active,3092000,685000,2025-10-01T11:15:00Z,2025-11-01T12:15:00Z,207000,2026-03-07T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Catherine Mkumbo,catherine.mkumbo27@saccos.local,+255712016551,DCP25-0027,19820426100189297,,active,3184000,745000,2025-11-03T09:15:00Z,2025-12-05T10:15:00Z,214000,2026-01-10T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Dotto Mtei,dotto.mtei28@saccos.local,+255712017164,DCP25-0028,19830501100196308,,active,3276000,805000,2025-12-05T10:15:00Z,2026-01-09T11:15:00Z,221000,2026-02-13T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Edina Mollel,edina.mollel29@saccos.local,+255712017777,DCP25-0029,19840604100203319,,active,3368000,865000,2026-01-07T11:15:00Z,2025-04-13T12:15:00Z,228000,2026-03-16T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Fabian Nkwabi,fabian.nkwabi30@saccos.local,+255712018390,DCP25-0030,19850707100210330,,active,3460000,340000,2025-04-09T09:15:00Z,2025-05-17T10:15:00Z,0,,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0030,1000000,10,10,active,2025-10-14T09:15:00Z,110000,2026-01-16T10:15:00Z
George Kasambala,george.kasambala31@saccos.local,+255712019003,DCP25-0031,19860810100217341,,active,3552000,400000,2025-05-11T10:15:00Z,2025-06-21T11:15:00Z,242000,2026-02-22T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Halima Manyama,halima.manyama32@saccos.local,+255712019616,DCP25-0032,19870913100224352,,active,3644000,460000,2025-06-13T11:15:00Z,2025-07-25T12:15:00Z,249000,2026-03-01T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Imani Mponzi,imani.mponzi33@saccos.local,+255712020229,DCP25-0033,19881016100231363,,active,3736000,520000,2025-07-15T09:15:00Z,2025-08-03T10:15:00Z,256000,2026-01-04T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Janeth Ndosi,janeth.ndosi34@saccos.local,+255712020842,DCP25-0034,19891119100238374,,active,3828000,580000,2025-08-17T10:15:00Z,2025-09-07T11:15:00Z,263000,2026-02-07T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Khadija Mfaume,khadija.mfaume35@saccos.local,+255712021455,DCP25-0035,19901222100245385,,active,3920000,655000,2025-09-19T11:15:00Z,2025-10-11T12:15:00Z,270000,2026-03-10T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0035,1200000,10,11,active,2025-11-16T09:15:00Z,130000,2026-02-03T10:15:00Z
Leah Mlimbila,leah.mlimbila36@saccos.local,+255712022068,DCP25-0036,19910125100252396,,active,4012000,715000,2025-10-21T09:15:00Z,2025-11-15T10:15:00Z,0,,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Moses Kimaro,moses.kimaro37@saccos.local,+255712022681,DCP25-0037,19920228100259407,,active,4104000,775000,2025-11-23T10:15:00Z,2025-12-19T11:15:00Z,284000,2026-02-16T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Nasra Mrema,nasra.mrema38@saccos.local,+255712023294,DCP25-0038,19930303100266418,,active,4196000,835000,2025-12-25T11:15:00Z,2026-01-23T12:15:00Z,291000,2026-03-19T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Oscar Massawe,oscar.massawe39@saccos.local,+255712023907,DCP25-0039,19940406100273429,,active,4288000,895000,2026-01-01T09:15:00Z,2025-04-01T10:15:00Z,298000,2026-01-22T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Prisca Maro,prisca.maro40@saccos.local,+255712024520,DCP25-0040,19950509100280440,,active,4380000,370000,2025-04-03T10:15:00Z,2025-05-05T11:15:00Z,305000,2026-02-01T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0040,600000,10,8,active,2025-08-18T09:15:00Z,70000,2026-01-13T10:15:00Z
Queen Msuya,queen.msuya41@saccos.local,+255712025133,DCP25-0041,19960612100287451,,active,4472000,430000,2025-05-05T11:15:00Z,2025-06-09T12:15:00Z,312000,2026-03-04T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Robert Mtui,robert.mtui42@saccos.local,+255712025746,DCP25-0042,19970715100294462,,active,4564000,490000,2025-06-07T09:15:00Z,2025-07-13T10:15:00Z,0,,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Sophia Ngowi,sophia.ngowi43@saccos.local,+255712026359,DCP25-0043,19980818100301473,,active,4656000,550000,2025-07-09T10:15:00Z,2025-08-17T11:15:00Z,326000,2026-02-10T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Thomas Mkenda,thomas.mkenda44@saccos.local,+255712026972,DCP25-0044,19990921100308484,,active,4748000,610000,2025-08-11T11:15:00Z,2025-09-21T12:15:00Z,333000,2026-03-13T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Upendo Komba,upendo.komba45@saccos.local,+255712027585,DCP25-0045,20001024100315495,,active,4840000,685000,2025-09-13T09:15:00Z,2025-10-25T10:15:00Z,340000,2026-01-16T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0045,800000,10,9,active,2025-09-20T09:15:00Z,90000,2026-02-23T10:15:00Z
Victor Moshi,victor.moshi46@saccos.local,+255712028198,DCP25-0046,20011127100322506,,active,4932000,745000,2025-10-15T10:15:00Z,2025-11-03T11:15:00Z,347000,2026-02-19T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Witness Mkumbo,witness.mkumbo47@saccos.local,+255712028811,DCP25-0047,20021202100329517,,active,5024000,805000,2025-11-17T11:15:00Z,2025-12-07T12:15:00Z,354000,2026-03-22T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Yusuph Mtei,yusuph.mtei48@saccos.local,+255712029424,DCP25-0048,19790105100336528,,active,5116000,865000,2025-12-19T09:15:00Z,2026-01-11T10:15:00Z,0,,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Zubeda Mollel,zubeda.mollel49@saccos.local,+255712030037,DCP25-0049,19800208100343539,,active,5208000,925000,2026-01-21T10:15:00Z,2025-04-15T11:15:00Z,368000,2026-02-04T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Agnes Nkwabi,agnes.nkwabi50@saccos.local,+255712030650,DCP25-0050,19810311100350550,,active,5300000,400000,2025-04-23T11:15:00Z,2025-05-19T12:15:00Z,375000,2026-03-07T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0050,1000000,10,10,active,2025-10-22T09:15:00Z,110000,2026-01-10T10:15:00Z
