full_name,email,phone,member_no,national_id,branch_code,status,opening_savings,opening_shares,opening_savings_date,opening_shares_date,withdrawal_amount,withdrawal_date,notes,loan_id,loan_amount,interest_rate,term_months,loan_status,loan_disbursed_at,repayment_amount,repayment_date
Neema Ndosi,neema.demo14@saccos.local,+255730001414,CLN25-00014,19940315100114154,,active,1450000,700000,2025-08-02T11:15:00Z,2025-09-09T10:15:00Z,94000,2026-03-01T13:15:00Z,Active member with healthy transaction trail,,,,,,,,
Omary Mfaume,omary.demo15@saccos.local,+255730001515,CLN25-00015,19950418100115165,,active,1510000,740000,2025-09-04T09:15:00Z,2025-10-11T11:15:00Z,0,,Loan customer with repayment history,LN-CD-00015,2100000,12,14,active,2025-07-09T09:15:00Z,175000,2026-01-18T10:15:00Z
Paulina Mlimbila,paulina.demo16@saccos.local,+255730001616,CLN25-00016,19960521100116176,,active,1580000,780000,2025-10-06T10:15:00Z,2025-11-13T10:15:00Z,103000,2026-01-10T11:15:00Z,Clean demo member with withdrawal visibility,,,,,,,,
Rehema Msuya,rehema.demo17@saccos.local,+255730001717,CLN25-00017,19970624100117187,,active,1640000,820000,2025-11-08T11:15:00Z,2025-12-15T11:15:00Z,0,,Strong share capital member for dividend allocation tests,,,,,,,,
Salum Mtui,salum.demo18@saccos.local,+255730001818,CLN25-00018,19980727100118198,,active,1710000,860000,2025-12-10T09:15:00Z,2026-01-17T10:15:00Z,115000,2026-02-22T12:15:00Z,Clean demo member with small operating withdrawals,,,,,,,,
Tumaini Ngowi,tumaini.demo19@saccos.local,+255730001919,CLN25-00019,19990802100119209,,active,1780000,900000,2025-04-12T10:15:00Z,2025-05-19T11:15:00Z,120000,2026-03-12T13:15:00Z,Clean demo borrower,LN-CD-00019,1300000,12,9,active,2025-10-14T09:15:00Z,130000,2026-03-13T10:15:00Z
Upendo Mkenda,upendo.demo20@saccos.local,+255730002020,CLN25-00020,20000905100120220,,active,1840000,940000,2025-05-14T11:15:00Z,2025-06-21T10:15:00Z,0,,Clean demo member with savings and shares only,,,,,,,,
Vicky Komba,vicky.demo21@saccos.local,+255730002121,CLN25-00021,20011008100121231,,active,1910000,980000,2025-06-16T09:15:00Z,2025-07-23T11:15:00Z,128000,2026-01-16T12:15:00Z,Clean demo member with high contribution pattern,,,,,,,,
William Moshi,william.demo22@saccos.local,+255730002222,CLN25-00022,20021111100122242,,active,1980000,1020000,2025-07-18T10:15:00Z,2025-08-25T10:15:00Z,135000,2026-02-21T11:15:00Z,Clean demo medium-loan member,LN-CD-00022,1750000,10,11,active,2025-12-04T09:15:00Z,160000,2026-02-22T10:15:00Z
Yohana Mkumbo,yohana.demo23@saccos.local,+255730002323,CLN25-00023,20031214100123253,,active,2050000,1060000,2025-08-20T11:15:00Z,2025-09-27T11:15:00Z,0,,Contribution-focused clean demo member,,,,,,,,
Zawadi Mtei,zawadi.demo24@saccos.local,+255730002424,CLN25-00024,19800117100124264,,active,2120000,1100000,2025-09-22T09:15:00Z,2025-10-02T10:15:00Z,146000,2026-03-02T12:15:00Z,Clean demo member with transaction activity,,,,,,,,
Abdallah Mollel,abdallah.demo25@saccos.local,+255730002525,CLN25-00025,19810220100125275,,active,2190000,1140000,2025-10-24T10:15:00Z,2025-11-04T11:15:00Z,0,,Loan customer with steady repayment,LN-CD-00025,2400000,12,15,active,2025-09-06T09:15:00Z,190000,2026-01-25T10:15:00Z
